"","sector.name","subsector.name0","subsector.name","year","lifetime","technology"
"275","base load generation","biomass","biomass_base_IGCC",2040,60,"biomass (IGCC) (dry cooling)"
"276","base load generation","biomass","biomass_base_IGCC_CCS",2040,60,"biomass (IGCC CCS) (once through)"
"277","base load generation","biomass","biomass_base_IGCC_CCS",2040,60,"biomass (IGCC CCS) (seawater)"
"278","base load generation","biomass","biomass_base_IGCC_CCS",2040,60,"biomass (IGCC CCS) (recirculating)"
"279","base load generation","biomass","biomass_base_IGCC_CCS",2040,60,"biomass (IGCC CCS) (dry cooling)"
"280","base load generation","coal","coal_base_conv pul",2040,60,"coal (conv pul) (once through)"
"281","base load generation","coal","coal_base_conv pul",2040,60,"coal (conv pul) (seawater)"
"282","base load generation","coal","coal_base_conv pul",2040,60,"coal (conv pul) (recirculating)"
"283","base load generation","coal","coal_base_conv pul",2040,60,"coal (conv pul) (cooling pond)"
"284","base load generation","coal","coal_base_conv pul",2040,60,"coal (conv pul) (dry cooling)"
"285","base load generation","coal","coal_base_conv pul_CCS",2040,60,"coal (conv pul CCS) (once through)"
"286","base load generation","coal","coal_base_conv pul_CCS",2040,60,"coal (conv pul CCS) (seawater)"
"287","base load generation","coal","coal_base_conv pul_CCS",2040,60,"coal (conv pul CCS) (recirculating)"
"288","base load generation","coal","coal_base_conv pul_CCS",2040,60,"coal (conv pul CCS) (dry cooling)"
"289","base load generation","coal","coal_base_IGCC",2040,60,"coal (IGCC) (once through)"
"290","base load generation","coal","coal_base_IGCC",2040,60,"coal (IGCC) (seawater)"
"291","base load generation","coal","coal_base_IGCC",2040,60,"coal (IGCC) (recirculating)"
"292","base load generation","coal","coal_base_IGCC",2040,60,"coal (IGCC) (dry cooling)"
"293","base load generation","coal","coal_base_IGCC_CCS",2040,60,"coal (IGCC CCS) (once through)"
"294","base load generation","coal","coal_base_IGCC_CCS",2040,60,"coal (IGCC CCS) (seawater)"
"295","base load generation","coal","coal_base_IGCC_CCS",2040,60,"coal (IGCC CCS) (recirculating)"
"296","base load generation","coal","coal_base_IGCC_CCS",2040,60,"coal (IGCC CCS) (dry cooling)"
"297","base load generation","gas","gas_base_CC",2040,45,"gas (CC) (once through)"
"298","base load generation","gas","gas_base_CC",2040,45,"gas (CC) (seawater)"
"299","base load generation","gas","gas_base_CC",2040,45,"gas (CC) (recirculating)"
"300","base load generation","gas","gas_base_CC",2040,45,"gas (CC) (cooling pond)"
"301","base load generation","gas","gas_base_CC",2040,45,"gas (CC) (dry cooling)"
"302","base load generation","gas","gas_base_CC_CCS",2040,45,"gas (CC CCS) (once through)"
"303","base load generation","gas","gas_base_CC_CCS",2040,45,"gas (CC CCS) (seawater)"
