"","sector.name","subsector.name0","subsector.name","year","capacity.factor","technology"
"225","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85,"coal (conv pul) (seawater)"
"226","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85,"coal (conv pul) (recirculating)"
"227","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85,"coal (conv pul) (cooling pond)"
"228","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85,"coal (conv pul) (dry cooling)"
"229","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85,"coal (conv pul) (once through)"
"230","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85,"coal (conv pul) (seawater)"
"231","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85,"coal (conv pul) (recirculating)"
"232","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85,"coal (conv pul) (cooling pond)"
"233","base load generation","coal","coal_base_conv pul 1966-1970",1990,0.85,"coal (conv pul) (dry cooling)"
"234","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85,"coal (conv pul) (once through)"
"235","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85,"coal (conv pul) (seawater)"
"236","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85,"coal (conv pul) (recirculating)"
"237","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85,"coal (conv pul) (cooling pond)"
"238","base load generation","coal","coal_base_conv pul 1971-1975",1990,0.85,"coal (conv pul) (dry cooling)"
"239","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85,"coal (conv pul) (once through)"
"240","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85,"coal (conv pul) (seawater)"
"241","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85,"coal (conv pul) (recirculating)"
"242","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85,"coal (conv pul) (cooling pond)"
"243","base load generation","coal","coal_base_conv pul 1976-1980",1990,0.85,"coal (conv pul) (dry cooling)"
"244","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85,"coal (conv pul) (once through)"
"245","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85,"coal (conv pul) (seawater)"
"246","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85,"coal (conv pul) (recirculating)"
"247","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85,"coal (conv pul) (cooling pond)"
"248","base load generation","coal","coal_base_conv pul 1981-1985",1990,0.85,"coal (conv pul) (dry cooling)"
"249","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85,"coal (conv pul) (once through)"
"250","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85,"coal (conv pul) (seawater)"
"251","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85,"coal (conv pul) (recirculating)"
"252","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85,"coal (conv pul) (cooling pond)"
"253","base load generation","coal","coal_base_conv pul 1986-1990",1990,0.85,"coal (conv pul) (dry cooling)"
"254","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85,"coal (conv pul) (once through)"
"255","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85,"coal (conv pul) (seawater)"
"256","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85,"coal (conv pul) (recirculating)"
"257","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85,"coal (conv pul) (cooling pond)"
"258","base load generation","coal","coal_base_conv pul 1991-1995",1990,0.85,"coal (conv pul) (dry cooling)"
"259","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85,"coal (conv pul) (once through)"
"260","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85,"coal (conv pul) (seawater)"
"261","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85,"coal (conv pul) (recirculating)"
"262","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85,"coal (conv pul) (cooling pond)"
"263","base load generation","coal","coal_base_conv pul 1996-2000",1990,0.85,"coal (conv pul) (dry cooling)"
"264","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85,"coal (conv pul) (once through)"
"265","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85,"coal (conv pul) (seawater)"
"266","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85,"coal (conv pul) (recirculating)"
"267","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85,"coal (conv pul) (cooling pond)"
"268","base load generation","coal","coal_base_conv pul 2001-2005",1990,0.85,"coal (conv pul) (dry cooling)"
"269","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85,"coal (conv pul) (once through)"
"270","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85,"coal (conv pul) (seawater)"
"271","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85,"coal (conv pul) (recirculating)"
"272","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85,"coal (conv pul) (cooling pond)"
"273","base load generation","coal","coal_base_conv pul 2006-2010",1990,0.85,"coal (conv pul) (dry cooling)"
"274","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85,"coal (conv pul) (once through)"
"275","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85,"coal (conv pul) (seawater)"
"276","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85,"coal (conv pul) (recirculating)"
"277","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85,"coal (conv pul) (cooling pond)"
"278","base load generation","coal","coal_base_conv pul 2011-2015",1990,0.85,"coal (conv pul) (dry cooling)"
"279","base load generation","coal","coal_base_conv pul before 1950",1990,0.85,"coal (conv pul) (once through)"
"280","base load generation","coal","coal_base_conv pul before 1950",1990,0.85,"coal (conv pul) (seawater)"
