"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"79","intermediate generation","solar","CSP_int",2055,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"80","intermediate generation","solar","CSP_int",2060,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"81","intermediate generation","solar","CSP_int",2065,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"82","intermediate generation","solar","CSP_int",2070,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"83","intermediate generation","solar","CSP_int",2075,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"84","intermediate generation","solar","CSP_int",2080,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"85","intermediate generation","solar","CSP_int",2085,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"86","intermediate generation","solar","CSP_int",2090,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"87","intermediate generation","solar","CSP_int",2095,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"88","intermediate generation","solar","CSP_int",2100,"OM-fixed",11.62,"CSP_int (dry_hybrid)"
"89","intermediate generation","solar","CSP_int",1975,"OM-fixed",15.92,"CSP_int (recirculating)"
"90","intermediate generation","solar","CSP_int",1990,"OM-fixed",15.92,"CSP_int (recirculating)"
"91","intermediate generation","solar","CSP_int",2005,"OM-fixed",15.92,"CSP_int (recirculating)"
"92","intermediate generation","solar","CSP_int",2010,"OM-fixed",15.92,"CSP_int (recirculating)"
"93","intermediate generation","solar","CSP_int",2015,"OM-fixed",15.92,"CSP_int (recirculating)"
"94","intermediate generation","solar","CSP_int",2020,"OM-fixed",13.22,"CSP_int (recirculating)"
"95","intermediate generation","solar","CSP_int",2025,"OM-fixed",12.21,"CSP_int (recirculating)"
"96","intermediate generation","solar","CSP_int",2030,"OM-fixed",11.84,"CSP_int (recirculating)"
"97","intermediate generation","solar","CSP_int",2035,"OM-fixed",11.7,"CSP_int (recirculating)"
"98","intermediate generation","solar","CSP_int",2040,"OM-fixed",11.65,"CSP_int (recirculating)"
"99","intermediate generation","solar","CSP_int",2045,"OM-fixed",11.63,"CSP_int (recirculating)"
"100","intermediate generation","solar","CSP_int",2050,"OM-fixed",11.63,"CSP_int (recirculating)"
"101","intermediate generation","solar","CSP_int",2055,"OM-fixed",11.62,"CSP_int (recirculating)"
"102","intermediate generation","solar","CSP_int",2060,"OM-fixed",11.62,"CSP_int (recirculating)"
"103","intermediate generation","solar","CSP_int",2065,"OM-fixed",11.62,"CSP_int (recirculating)"
"104","intermediate generation","solar","CSP_int",2070,"OM-fixed",11.62,"CSP_int (recirculating)"
"105","intermediate generation","solar","CSP_int",2075,"OM-fixed",11.62,"CSP_int (recirculating)"
"106","intermediate generation","solar","CSP_int",2080,"OM-fixed",11.62,"CSP_int (recirculating)"
"107","intermediate generation","solar","CSP_int",2085,"OM-fixed",11.62,"CSP_int (recirculating)"
"108","intermediate generation","solar","CSP_int",2090,"OM-fixed",11.62,"CSP_int (recirculating)"
"109","intermediate generation","solar","CSP_int",2095,"OM-fixed",11.62,"CSP_int (recirculating)"
"110","intermediate generation","solar","CSP_int",2100,"OM-fixed",11.62,"CSP_int (recirculating)"
"111","intermediate generation","solar","PV_int",1975,"OM-fixed",4.36,"PV_int"
"112","intermediate generation","solar","PV_int",1990,"OM-fixed",4.36,"PV_int"
"113","intermediate generation","solar","PV_int",2005,"OM-fixed",4.36,"PV_int"
"114","intermediate generation","solar","PV_int",2010,"OM-fixed",4.36,"PV_int"
"115","intermediate generation","solar","PV_int",2015,"OM-fixed",4.36,"PV_int"
"116","intermediate generation","solar","PV_int",2020,"OM-fixed",3.89,"PV_int"
"117","intermediate generation","solar","PV_int",2025,"OM-fixed",3.55,"PV_int"
"118","intermediate generation","solar","PV_int",2030,"OM-fixed",3.3,"PV_int"
"119","intermediate generation","solar","PV_int",2035,"OM-fixed",3.12,"PV_int"
"120","intermediate generation","solar","PV_int",2040,"OM-fixed",2.99,"PV_int"
"121","intermediate generation","solar","PV_int",2045,"OM-fixed",2.89,"PV_int"
"122","intermediate generation","solar","PV_int",2050,"OM-fixed",2.82,"PV_int"
"123","intermediate generation","solar","PV_int",2055,"OM-fixed",2.76,"PV_int"
"124","intermediate generation","solar","PV_int",2060,"OM-fixed",2.72,"PV_int"
"125","intermediate generation","solar","PV_int",2065,"OM-fixed",2.69,"PV_int"
"126","intermediate generation","solar","PV_int",2070,"OM-fixed",2.67,"PV_int"
"127","intermediate generation","solar","PV_int",2075,"OM-fixed",2.66,"PV_int"
"128","intermediate generation","solar","PV_int",2080,"OM-fixed",2.65,"PV_int"
"129","intermediate generation","solar","PV_int",2085,"OM-fixed",2.64,"PV_int"
"130","intermediate generation","solar","PV_int",2090,"OM-fixed",2.63,"PV_int"
"131","intermediate generation","solar","PV_int",2095,"OM-fixed",2.63,"PV_int"
"132","intermediate generation","solar","PV_int",2100,"OM-fixed",2.62,"PV_int"
"133","intermediate generation","wind","wind_int",1975,"OM-fixed",14.54,"wind_int"
"134","intermediate generation","wind","wind_int",1990,"OM-fixed",14.54,"wind_int"
"135","intermediate generation","wind","wind_int",2005,"OM-fixed",14.54,"wind_int"
"136","intermediate generation","wind","wind_int",2010,"OM-fixed",14.54,"wind_int"
"137","intermediate generation","wind","wind_int",2015,"OM-fixed",14.54,"wind_int"
"138","intermediate generation","wind","wind_int",2020,"OM-fixed",12.9,"wind_int"
"139","intermediate generation","wind","wind_int",2025,"OM-fixed",11.76,"wind_int"
"140","intermediate generation","wind","wind_int",2030,"OM-fixed",10.97,"wind_int"
"141","intermediate generation","wind","wind_int",2035,"OM-fixed",10.42,"wind_int"
"142","intermediate generation","wind","wind_int",2040,"OM-fixed",10.04,"wind_int"
"143","intermediate generation","wind","wind_int",2045,"OM-fixed",9.77,"wind_int"
"144","intermediate generation","wind","wind_int",2050,"OM-fixed",9.58,"wind_int"
"145","intermediate generation","wind","wind_int",2055,"OM-fixed",9.46,"wind_int"
"146","intermediate generation","wind","wind_int",2060,"OM-fixed",9.37,"wind_int"
"147","intermediate generation","wind","wind_int",2065,"OM-fixed",9.3,"wind_int"
"148","intermediate generation","wind","wind_int",2070,"OM-fixed",9.26,"wind_int"
"149","intermediate generation","wind","wind_int",2075,"OM-fixed",9.23,"wind_int"
"150","intermediate generation","wind","wind_int",2080,"OM-fixed",9.21,"wind_int"
"151","intermediate generation","wind","wind_int",2085,"OM-fixed",9.19,"wind_int"
"152","intermediate generation","wind","wind_int",2090,"OM-fixed",9.18,"wind_int"
"153","intermediate generation","wind","wind_int",2095,"OM-fixed",9.18,"wind_int"
"154","intermediate generation","wind","wind_int",2100,"OM-fixed",9.17,"wind_int"
"155","peak generation","solar","CSP_peak",1975,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"156","peak generation","solar","CSP_peak",1990,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"157","peak generation","solar","CSP_peak",2005,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"158","peak generation","solar","CSP_peak",2010,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"159","peak generation","solar","CSP_peak",2015,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"160","peak generation","solar","CSP_peak",2020,"OM-fixed",13.22,"CSP_peak (dry_hybrid)"
"161","peak generation","solar","CSP_peak",2025,"OM-fixed",12.21,"CSP_peak (dry_hybrid)"
"162","peak generation","solar","CSP_peak",2030,"OM-fixed",11.84,"CSP_peak (dry_hybrid)"
"163","peak generation","solar","CSP_peak",2035,"OM-fixed",11.7,"CSP_peak (dry_hybrid)"
"164","peak generation","solar","CSP_peak",2040,"OM-fixed",11.65,"CSP_peak (dry_hybrid)"
"165","peak generation","solar","CSP_peak",2045,"OM-fixed",11.63,"CSP_peak (dry_hybrid)"
