"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"262","IA","base load generation","wind","wind_base",2020,0.33
"263","ID","base load generation","wind","wind_base",2020,0.26
"264","IL","base load generation","wind","wind_base",2020,0.38
"265","IN","base load generation","wind","wind_base",2020,0.32
"266","KS","base load generation","wind","wind_base",2020,0.35
"267","KY","base load generation","wind","wind_base",2020,0.26
"268","LA","base load generation","wind","wind_base",2020,0.41
"269","MA","base load generation","wind","wind_base",2020,0.44
"270","MD","base load generation","wind","wind_base",2020,0.37
"271","ME","base load generation","wind","wind_base",2020,0.41
"272","MI","base load generation","wind","wind_base",2020,0.45
"273","MN","base load generation","wind","wind_base",2020,0.45
"274","MO","base load generation","wind","wind_base",2020,0.31
"275","MS","base load generation","wind","wind_base",2020,0.27
"276","MT","base load generation","wind","wind_base",2020,0.36
"277","NC","base load generation","wind","wind_base",2020,0.35
"278","ND","base load generation","wind","wind_base",2020,0.34
"279","NE","base load generation","wind","wind_base",2020,0.36
"280","NH","base load generation","wind","wind_base",2020,0.38
"281","NJ","base load generation","wind","wind_base",2020,0.33
"282","NM","base load generation","wind","wind_base",2020,0.35
"283","NV","base load generation","wind","wind_base",2020,0.25
"284","NY","base load generation","wind","wind_base",2020,0.38
"285","OH","base load generation","wind","wind_base",2020,0.34
"286","OK","base load generation","wind","wind_base",2020,0.36
"287","OR","base load generation","wind","wind_base",2020,0.4
"288","PA","base load generation","wind","wind_base",2020,0.34
"289","RI","base load generation","wind","wind_base",2020,0.34
"290","SC","base load generation","wind","wind_base",2020,0.25
"291","SD","base load generation","wind","wind_base",2020,0.36
"292","TN","base load generation","wind","wind_base",2020,0.26
"293","TX","base load generation","wind","wind_base",2020,0.38
"294","UT","base load generation","wind","wind_base",2020,0.25
"295","VA","base load generation","wind","wind_base",2020,0.35
"296","VT","base load generation","wind","wind_base",2020,0.32
"297","WA","base load generation","wind","wind_base",2020,0.44
"298","WI","base load generation","wind","wind_base",2020,0.44
"299","WV","base load generation","wind","wind_base",2020,0.29
"300","WY","base load generation","wind","wind_base",2020,0.35
"301","AK","base load generation","wind","wind_base",2025,0.45
"302","AL","base load generation","wind","wind_base",2025,0.31
"303","AR","base load generation","wind","wind_base",2025,0.3
"304","AZ","base load generation","wind","wind_base",2025,0.26
"305","CA","base load generation","wind","wind_base",2025,0.44
"306","CO","base load generation","wind","wind_base",2025,0.34
