"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"207","AZ","base load generation","wind","wind_base",2005,0.43,"electricity","wind_base","no cooling","none","none"
"208","AZ","intermediate generation","wind","wind_int",2005,0.43,"electricity","wind_int","no cooling","none","none"
"209","AZ","subpeak generation","wind","wind_subpeak",2005,0.43,"electricity","wind_subpeak","no cooling","none","none"
"210","AZ","base load generation","wind","wind_base_storage",2005,0.43,"electricity","wind_base_storage","no cooling","none","none"
"211","AZ","base load generation","wind","wind_base",2010,0.43,"electricity","wind_base","no cooling","none","none"
"212","AZ","intermediate generation","wind","wind_int",2010,0.43,"electricity","wind_int","no cooling","none","none"
"213","AZ","subpeak generation","wind","wind_subpeak",2010,0.43,"electricity","wind_subpeak","no cooling","none","none"
"214","AZ","base load generation","wind","wind_base_storage",2010,0.43,"electricity","wind_base_storage","no cooling","none","none"
"215","AZ","base load generation","wind","wind_base",2015,0.43,"electricity","wind_base","no cooling","none","none"
"216","AZ","intermediate generation","wind","wind_int",2015,0.43,"electricity","wind_int","no cooling","none","none"
"217","AZ","subpeak generation","wind","wind_subpeak",2015,0.43,"electricity","wind_subpeak","no cooling","none","none"
"218","AZ","base load generation","wind","wind_base_storage",2015,0.43,"electricity","wind_base_storage","no cooling","none","none"
"219","AZ","base load generation","wind","wind_base",2020,0.43,"electricity","wind_base","no cooling","none","none"
"220","AZ","intermediate generation","wind","wind_int",2020,0.43,"electricity","wind_int","no cooling","none","none"
"221","AZ","subpeak generation","wind","wind_subpeak",2020,0.43,"electricity","wind_subpeak","no cooling","none","none"
"222","AZ","base load generation","wind","wind_base_storage",2020,0.43,"electricity","wind_base_storage","no cooling","none","none"
"223","AZ","base load generation","wind","wind_base",2025,0.43,"electricity","wind_base","no cooling","none","none"
"224","AZ","intermediate generation","wind","wind_int",2025,0.43,"electricity","wind_int","no cooling","none","none"
"225","AZ","subpeak generation","wind","wind_subpeak",2025,0.43,"electricity","wind_subpeak","no cooling","none","none"
"226","AZ","base load generation","wind","wind_base_storage",2025,0.43,"electricity","wind_base_storage","no cooling","none","none"
"227","AZ","base load generation","wind","wind_base",2030,0.43,"electricity","wind_base","no cooling","none","none"
"228","AZ","intermediate generation","wind","wind_int",2030,0.43,"electricity","wind_int","no cooling","none","none"
"229","AZ","subpeak generation","wind","wind_subpeak",2030,0.43,"electricity","wind_subpeak","no cooling","none","none"
"230","AZ","base load generation","wind","wind_base_storage",2030,0.43,"electricity","wind_base_storage","no cooling","none","none"
"231","AZ","base load generation","wind","wind_base",2035,0.43,"electricity","wind_base","no cooling","none","none"
"232","AZ","intermediate generation","wind","wind_int",2035,0.43,"electricity","wind_int","no cooling","none","none"
"233","AZ","subpeak generation","wind","wind_subpeak",2035,0.43,"electricity","wind_subpeak","no cooling","none","none"
"234","AZ","base load generation","wind","wind_base_storage",2035,0.43,"electricity","wind_base_storage","no cooling","none","none"
"235","AZ","base load generation","wind","wind_base",2040,0.43,"electricity","wind_base","no cooling","none","none"
"236","AZ","intermediate generation","wind","wind_int",2040,0.43,"electricity","wind_int","no cooling","none","none"
"237","AZ","subpeak generation","wind","wind_subpeak",2040,0.43,"electricity","wind_subpeak","no cooling","none","none"
"238","AZ","base load generation","wind","wind_base_storage",2040,0.43,"electricity","wind_base_storage","no cooling","none","none"
"239","AZ","base load generation","wind","wind_base",2045,0.43,"electricity","wind_base","no cooling","none","none"
"240","AZ","intermediate generation","wind","wind_int",2045,0.43,"electricity","wind_int","no cooling","none","none"
"241","AZ","subpeak generation","wind","wind_subpeak",2045,0.43,"electricity","wind_subpeak","no cooling","none","none"
"242","AZ","base load generation","wind","wind_base_storage",2045,0.43,"electricity","wind_base_storage","no cooling","none","none"
