"","sector.name","subsector.name","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"230","base load generation","coal","coal_base_conv pul 2001-2005",2040,"capital",950,0.13
"231","base load generation","coal","coal_base_conv pul 2001-2005",2045,"capital",941,0.13
"232","base load generation","coal","coal_base_conv pul 2001-2005",2050,"capital",932,0.13
"233","base load generation","coal","coal_base_conv pul 2001-2005",2055,"capital",925,0.13
"234","base load generation","coal","coal_base_conv pul 2001-2005",2060,"capital",918,0.13
"235","base load generation","coal","coal_base_conv pul 2001-2005",2065,"capital",911,0.13
"236","base load generation","coal","coal_base_conv pul 2001-2005",2070,"capital",906,0.13
"237","base load generation","coal","coal_base_conv pul 2001-2005",2075,"capital",901,0.13
"238","base load generation","coal","coal_base_conv pul 2001-2005",2080,"capital",896,0.13
"239","base load generation","coal","coal_base_conv pul 2001-2005",2085,"capital",892,0.13
"240","base load generation","coal","coal_base_conv pul 2001-2005",2090,"capital",888,0.13
"241","base load generation","coal","coal_base_conv pul 2001-2005",2095,"capital",885,0.13
"242","base load generation","coal","coal_base_conv pul 2001-2005",2100,"capital",881,0.13
"243","base load generation","coal","coal_base_conv pul 2006-2010",1975,"capital",1015,0.13
"244","base load generation","coal","coal_base_conv pul 2006-2010",1990,"capital",1015,0.13
"245","base load generation","coal","coal_base_conv pul 2006-2010",2005,"capital",1015,0.13
"246","base load generation","coal","coal_base_conv pul 2006-2010",2010,"capital",1015,0.13
"247","base load generation","coal","coal_base_conv pul 2006-2010",2015,"capital",1015,0.13
"248","base load generation","coal","coal_base_conv pul 2006-2010",2020,"capital",999,0.13
"249","base load generation","coal","coal_base_conv pul 2006-2010",2025,"capital",985,0.13
"250","base load generation","coal","coal_base_conv pul 2006-2010",2030,"capital",972,0.13
"251","base load generation","coal","coal_base_conv pul 2006-2010",2035,"capital",961,0.13
"252","base load generation","coal","coal_base_conv pul 2006-2010",2040,"capital",950,0.13
"253","base load generation","coal","coal_base_conv pul 2006-2010",2045,"capital",941,0.13
"254","base load generation","coal","coal_base_conv pul 2006-2010",2050,"capital",932,0.13
"255","base load generation","coal","coal_base_conv pul 2006-2010",2055,"capital",925,0.13
"256","base load generation","coal","coal_base_conv pul 2006-2010",2060,"capital",918,0.13
"257","base load generation","coal","coal_base_conv pul 2006-2010",2065,"capital",911,0.13
"258","base load generation","coal","coal_base_conv pul 2006-2010",2070,"capital",906,0.13
"259","base load generation","coal","coal_base_conv pul 2006-2010",2075,"capital",901,0.13
"260","base load generation","coal","coal_base_conv pul 2006-2010",2080,"capital",896,0.13
"261","base load generation","coal","coal_base_conv pul 2006-2010",2085,"capital",892,0.13
"262","base load generation","coal","coal_base_conv pul 2006-2010",2090,"capital",888,0.13
"263","base load generation","coal","coal_base_conv pul 2006-2010",2095,"capital",885,0.13
"264","base load generation","coal","coal_base_conv pul 2006-2010",2100,"capital",881,0.13
"265","base load generation","coal","coal_base_conv pul 2011-2015",1975,"capital",1015,0.13
"266","base load generation","coal","coal_base_conv pul 2011-2015",1990,"capital",1015,0.13
"267","base load generation","coal","coal_base_conv pul 2011-2015",2005,"capital",1015,0.13
"268","base load generation","coal","coal_base_conv pul 2011-2015",2010,"capital",1015,0.13
"269","base load generation","coal","coal_base_conv pul 2011-2015",2015,"capital",1015,0.13
"270","base load generation","coal","coal_base_conv pul 2011-2015",2020,"capital",999,0.13
"271","base load generation","coal","coal_base_conv pul 2011-2015",2025,"capital",985,0.13
"272","base load generation","coal","coal_base_conv pul 2011-2015",2030,"capital",972,0.13
"273","base load generation","coal","coal_base_conv pul 2011-2015",2035,"capital",961,0.13
"274","base load generation","coal","coal_base_conv pul 2011-2015",2040,"capital",950,0.13
"275","base load generation","coal","coal_base_conv pul 2011-2015",2045,"capital",941,0.13
"276","base load generation","coal","coal_base_conv pul 2011-2015",2050,"capital",932,0.13
"277","base load generation","coal","coal_base_conv pul 2011-2015",2055,"capital",925,0.13
"278","base load generation","coal","coal_base_conv pul 2011-2015",2060,"capital",918,0.13
"279","base load generation","coal","coal_base_conv pul 2011-2015",2065,"capital",911,0.13
"280","base load generation","coal","coal_base_conv pul 2011-2015",2070,"capital",906,0.13
"281","base load generation","coal","coal_base_conv pul 2011-2015",2075,"capital",901,0.13
"282","base load generation","coal","coal_base_conv pul 2011-2015",2080,"capital",896,0.13
"283","base load generation","coal","coal_base_conv pul 2011-2015",2085,"capital",892,0.13
"284","base load generation","coal","coal_base_conv pul 2011-2015",2090,"capital",888,0.13
"285","base load generation","coal","coal_base_conv pul 2011-2015",2095,"capital",885,0.13
"286","base load generation","coal","coal_base_conv pul 2011-2015",2100,"capital",881,0.13
"287","base load generation","coal","coal_base_conv pul before 1950",1975,"capital",1015,0.13
"288","base load generation","coal","coal_base_conv pul before 1950",1990,"capital",1015,0.13
"289","base load generation","coal","coal_base_conv pul before 1950",2005,"capital",1015,0.13
"290","base load generation","coal","coal_base_conv pul before 1950",2010,"capital",1015,0.13
"291","base load generation","coal","coal_base_conv pul before 1950",2015,"capital",1015,0.13
"292","base load generation","coal","coal_base_conv pul before 1950",2020,"capital",999,0.13
"293","base load generation","coal","coal_base_conv pul before 1950",2025,"capital",985,0.13
"294","base load generation","coal","coal_base_conv pul before 1950",2030,"capital",972,0.13
"295","base load generation","coal","coal_base_conv pul before 1950",2035,"capital",961,0.13
"296","base load generation","coal","coal_base_conv pul before 1950",2040,"capital",950,0.13
"297","base load generation","coal","coal_base_conv pul before 1950",2045,"capital",941,0.13
"298","base load generation","coal","coal_base_conv pul before 1950",2050,"capital",932,0.13
"299","base load generation","coal","coal_base_conv pul before 1950",2055,"capital",925,0.13
"300","base load generation","coal","coal_base_conv pul before 1950",2060,"capital",918,0.13
"301","base load generation","coal","coal_base_conv pul before 1950",2065,"capital",911,0.13
"302","base load generation","coal","coal_base_conv pul before 1950",2070,"capital",906,0.13
"303","base load generation","coal","coal_base_conv pul before 1950",2075,"capital",901,0.13
"304","base load generation","coal","coal_base_conv pul before 1950",2080,"capital",896,0.13
"305","base load generation","coal","coal_base_conv pul before 1950",2085,"capital",892,0.13
"306","base load generation","coal","coal_base_conv pul before 1950",2090,"capital",888,0.13
"307","base load generation","coal","coal_base_conv pul before 1950",2095,"capital",885,0.13
"308","base load generation","coal","coal_base_conv pul before 1950",2100,"capital",881,0.13
"309","intermediate generation","coal","coal_int_conv pul 1951-1955",1975,"capital",1015,0.13
"310","intermediate generation","coal","coal_int_conv pul 1951-1955",1990,"capital",1015,0.13
"311","intermediate generation","coal","coal_int_conv pul 1951-1955",2005,"capital",1015,0.13
"312","intermediate generation","coal","coal_int_conv pul 1951-1955",2010,"capital",1015,0.13
"313","intermediate generation","coal","coal_int_conv pul 1951-1955",2015,"capital",1015,0.13
"314","intermediate generation","coal","coal_int_conv pul 1951-1955",2020,"capital",999,0.13
"315","intermediate generation","coal","coal_int_conv pul 1951-1955",2025,"capital",985,0.13
"316","intermediate generation","coal","coal_int_conv pul 1951-1955",2030,"capital",972,0.13
"317","intermediate generation","coal","coal_int_conv pul 1951-1955",2035,"capital",961,0.13
"318","intermediate generation","coal","coal_int_conv pul 1951-1955",2040,"capital",950,0.13
"319","intermediate generation","coal","coal_int_conv pul 1951-1955",2045,"capital",941,0.13
"320","intermediate generation","coal","coal_int_conv pul 1951-1955",2050,"capital",932,0.13
"321","intermediate generation","coal","coal_int_conv pul 1951-1955",2055,"capital",925,0.13
"322","intermediate generation","coal","coal_int_conv pul 1951-1955",2060,"capital",918,0.13
"323","intermediate generation","coal","coal_int_conv pul 1951-1955",2065,"capital",911,0.13
"324","intermediate generation","coal","coal_int_conv pul 1951-1955",2070,"capital",906,0.13
"325","intermediate generation","coal","coal_int_conv pul 1951-1955",2075,"capital",901,0.13
"326","intermediate generation","coal","coal_int_conv pul 1951-1955",2080,"capital",896,0.13
"327","intermediate generation","coal","coal_int_conv pul 1951-1955",2085,"capital",892,0.13
"328","intermediate generation","coal","coal_int_conv pul 1951-1955",2090,"capital",888,0.13
"329","intermediate generation","coal","coal_int_conv pul 1951-1955",2095,"capital",885,0.13
"330","intermediate generation","coal","coal_int_conv pul 1951-1955",2100,"capital",881,0.13
"331","intermediate generation","coal","coal_int_conv pul 1956-1960",1975,"capital",1015,0.13
"332","intermediate generation","coal","coal_int_conv pul 1956-1960",1990,"capital",1015,0.13
"333","intermediate generation","coal","coal_int_conv pul 1956-1960",2005,"capital",1015,0.13
"334","intermediate generation","coal","coal_int_conv pul 1956-1960",2010,"capital",1015,0.13
"335","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,"capital",1015,0.13
"336","intermediate generation","coal","coal_int_conv pul 1956-1960",2020,"capital",999,0.13
"337","intermediate generation","coal","coal_int_conv pul 1956-1960",2025,"capital",985,0.13
"338","intermediate generation","coal","coal_int_conv pul 1956-1960",2030,"capital",972,0.13
"339","intermediate generation","coal","coal_int_conv pul 1956-1960",2035,"capital",961,0.13
"340","intermediate generation","coal","coal_int_conv pul 1956-1960",2040,"capital",950,0.13
"341","intermediate generation","coal","coal_int_conv pul 1956-1960",2045,"capital",941,0.13
"342","intermediate generation","coal","coal_int_conv pul 1956-1960",2050,"capital",932,0.13
