"","sector.name","subsector.name0","subsector.name","year","technology","input.capital","capital.overnight","fixed.charge.rate"
"191","base load generation","nuclear","nuc_base_Gen II",1990,"Gen_II_LWR (seawater)","cooling system",6,0.15
"192","base load generation","nuclear","nuc_base_Gen II",1990,"Gen_II_LWR (recirculating)","cooling system",10,0.15
"193","base load generation","nuclear","nuc_base_Gen II",1990,"Gen_II_LWR (cooling pond)","cooling system",9,0.15
"194","base load generation","nuclear","nuc_base_Gen III",1990,"Gen_III (once through)","cooling system",6,0.15
"195","base load generation","nuclear","nuc_base_Gen III",1990,"Gen_III (seawater)","cooling system",6,0.15
"196","base load generation","nuclear","nuc_base_Gen III",1990,"Gen_III (recirculating)","cooling system",10,0.15
"197","base load generation","nuclear","nuc_base_Gen III",1990,"Gen_III (cooling pond)","cooling system",9,0.15
"198","base load generation","refined liquids","refined liquids_base_steam/CT",1990,"refined liquids (steam/CT) (once through)","cooling system",6,0.15
"199","base load generation","refined liquids","refined liquids_base_steam/CT",1990,"refined liquids (steam/CT) (seawater)","cooling system",6,0.15
"200","base load generation","refined liquids","refined liquids_base_steam/CT",1990,"refined liquids (steam/CT) (recirculating)","cooling system",10,0.15
"201","base load generation","refined liquids","refined liquids_base_steam/CT",1990,"refined liquids (steam/CT) (cooling pond)","cooling system",9,0.15
"202","base load generation","refined liquids","refined liquids_base_steam/CT",1990,"refined liquids (steam/CT) (dry cooling)","cooling system",62,0.15
"203","base load generation","refined liquids","refined liquids_base_CC",1990,"refined liquids (CC) (once through)","cooling system",6,0.15
"204","base load generation","refined liquids","refined liquids_base_CC",1990,"refined liquids (CC) (seawater)","cooling system",6,0.15
"205","base load generation","refined liquids","refined liquids_base_CC",1990,"refined liquids (CC) (recirculating)","cooling system",10,0.15
"206","base load generation","refined liquids","refined liquids_base_CC",1990,"refined liquids (CC) (dry cooling)","cooling system",62,0.15
"207","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,"refined liquids (CC CCS) (once through)","cooling system",6,0.15
"208","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,"refined liquids (CC CCS) (seawater)","cooling system",6,0.15
"209","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,"refined liquids (CC CCS) (recirculating)","cooling system",10,0.15
"210","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,"refined liquids (CC CCS) (dry cooling)","cooling system",62,0.15
"211","base load generation","solar","PV_base_storage",1990,"PV_base_storage","capital",1896,0.13
"212","base load generation","solar","CSP_base_storage",1990,"CSP_base_storage","capital",2270,0.13
"213","base load generation","wind","wind_base_storage",1990,"wind_base_storage","capital",1681,0.13
"214","base load generation","coal","coal_base_conv pul 1951-1955",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"215","base load generation","coal","coal_base_conv pul 1951-1955",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"216","base load generation","coal","coal_base_conv pul 1951-1955",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"217","base load generation","coal","coal_base_conv pul 1951-1955",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"218","base load generation","coal","coal_base_conv pul 1951-1955",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"219","base load generation","coal","coal_base_conv pul 1956-1960",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"220","base load generation","coal","coal_base_conv pul 1956-1960",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"221","base load generation","coal","coal_base_conv pul 1956-1960",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"222","base load generation","coal","coal_base_conv pul 1956-1960",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"223","base load generation","coal","coal_base_conv pul 1956-1960",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"224","base load generation","coal","coal_base_conv pul 1961-1965",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"225","base load generation","coal","coal_base_conv pul 1961-1965",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"226","base load generation","coal","coal_base_conv pul 1961-1965",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"227","base load generation","coal","coal_base_conv pul 1961-1965",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"228","base load generation","coal","coal_base_conv pul 1961-1965",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"229","base load generation","coal","coal_base_conv pul 1966-1970",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"230","base load generation","coal","coal_base_conv pul 1966-1970",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"231","base load generation","coal","coal_base_conv pul 1966-1970",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"232","base load generation","coal","coal_base_conv pul 1966-1970",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"233","base load generation","coal","coal_base_conv pul 1966-1970",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"234","base load generation","coal","coal_base_conv pul 1971-1975",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"235","base load generation","coal","coal_base_conv pul 1971-1975",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"236","base load generation","coal","coal_base_conv pul 1971-1975",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"237","base load generation","coal","coal_base_conv pul 1971-1975",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"238","base load generation","coal","coal_base_conv pul 1971-1975",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
